Review,Rating
"Khách sạn đẹp nhưng phí đậu xe hơi cao, giá tốt, đặt phòng nhân dịp kỷ niệm ngày cưới. Đến muộn, làm theo lời khuyên của các đánh giá trước đó và chọn dịch vụ đỗ xe hộ. Thủ tục nhận phòng nhanh chóng và dễ dàng, hơi thất vọng vì phòng không có view đẹp, phòng sạch sẽ, kích thước vừa phải, giường thoải mái, thức dậy bị đau cổ, gối cao. Không cách âm tốt, nghe thấy tiếng nhạc trong phòng cả đêm lẫn sáng, tiếng cửa mở đóng lớn, nghe thấy tiếng người nói chuyện ở hành lang, có lẽ chỉ là hàng xóm ồn ào. Sản phẩm tắm Aveda tốt, không có cá vàng, đó là một điểm cộng, tôi đã tận dụng cơ hội ở lại lâu hơn. Vị trí tuyệt vời, có thể đi bộ đến khu mua sắm. Nhìn chung, trải nghiệm tốt, phải trả 40 đô la phí đậu xe một đêm.",4
"Được rồi, không có gì đặc biệt, phí thành viên kim cương của Hilton quyết định tổ chức lễ kỷ niệm 20 năm tại Seattle, bắt đầu bằng việc đặt phòng suite và trả thêm tiền, mô tả trên trang web không chính xác, phòng suite có phòng ngủ và phòng tắm là phòng khách sạn tiêu chuẩn, tôi đã in phiếu đặt phòng và được nhân viên lễ tân đưa cho xem, họ nói có những thứ như TV, ghế sofa, v.v. Nhân viên lễ tân nói rằng mô tả trên trang web của Kimpton là phòng suite hỗn hợp, xin lỗi vì bữa sáng miễn phí, đùa à, phòng suite Embassy có phòng khách, phòng tắm và phòng ngủ, không giống như Kimpton gọi là suite, ưu đãi lưu trú 5 ngày là quảng cáo sai sự thật, tôi đã gửi email đến trang web khách hàng ưu tiên của Kimpton yêu cầu cung cấp phòng suite được quảng cáo trên trang web, mô tả đặt phòng được trang bị bản in phiếu đặt phòng cứng, quản lý lễ tân không trả lời giải pháp, tôi đã gửi email khảo sát khách hàng qua email nhưng không nhận được phản hồi, tôi đoán là tôi đã nói với khách hàng lo lắng. Nhân viên thờ ơ, không hữu ích, tôi hỏi lễ tân về những quán ăn sáng ngon trong khu vực lân cận, họ nói không có khách sạn nào, trời ơi, những quán ăn sáng ngon nhất ở Seattle chỉ cách đó nửa dãy nhà, khách sạn tiện lợi mà họ không biết là có, đến muộn lúc 11 giờ đêm, nhân viên khuân vác đang bận nói chuyện điện thoại để giúp mang hành lý. Trước khi đến, tôi đã gửi email cho khách sạn thông báo về lễ kỷ niệm 20 năm, tôi thực sự khó tính và muốn đảm bảo mọi thứ đều tốt, tôi nhận được email tử tế nói rằng sẽ giao một chai rượu sâm panh, dâu tây phủ sô cô la đến phòng để ăn mừng, tôi được bảo cần gối xốp, nhưng khi đến nơi không có rượu sâm panh, dâu tây, không có gối xốp, phòng tuyệt vời. Tầm nhìn ra hẻm, tòa nhà cao tầng, nhưng không tốt lắm, nhân viên dọn phòng sạch sẽ hơn, phòng sạch hơn, ấn tượng tốt khi rời đi sau khi mua sắm sáng, có thể đi những chuyến ngắn 2 tiếng, giường thoải mái. Điều hòa/sưởi không tốt, màn hình 4x4 inch làm ánh sáng xanh chiếu thẳng vào mắt vào ban đêm, điều khiển bằng băng dính nhạy sáng. Đây không phải là khách sạn 4 sao, khách sạn thương gia sạch sẽ, giá siêu cao, nên chọn các khách sạn chuỗi tốt hơn ở Seattle.",2
"Phòng đẹp nhưng không phải khách sạn 4 sao ở Monaco, Seattle. Khách sạn tốt nhưng không đạt chuẩn 4 sao. Ưu điểm: Phòng tắm rộng, phòng suite kiểu Địa Trung Hải, giường và gối thoải mái, nhân viên dọn phòng chu đáo. Nhược điểm: Máy điều hòa bị hỏng, quầy lễ tân lộn xộn, bỏ lỡ 3 cuộc gọi báo thức, nhân viên hướng dẫn bận rộn, không hướng dẫn các yêu cầu đặc biệt. TV khó sử dụng, đế cắm âm thanh iPod không hoạt động. Tôi quyết định đặt phòng suite Địa Trung Hải 3 đêm cuối tuần, lựa chọn số 1, nhóm bạn đã kín chỗ. So với việc chi 45 đô la một đêm, phòng rộng hơn, bồn tắm ngâm tuyệt vời, vòi sen tốt. Trước khi đến, khách sạn đã sắp xếp dịch vụ xe đưa đón với giá 53 đô la, tiền boa hợp lý, tài xế đợi sẵn khi đến. Thủ tục nhận phòng dễ dàng, điểm trừ là phòng chọn cho 2 người, bồn tắm jacuzzi không có phụ kiện tắm, muối tắm tạo bọt nên tôi không ở lại. Đêm đó, tôi nhận phòng lúc 12/1a, kiểm tra phiếu quà tặng, một chai sâm panh, cử chỉ tốt, phòng chờ có cá. Ấn tượng ban đầu là phòng rộng rãi, thoáng đãng, cảm thấy phòng lớn. TV ở xa, giường khó đổi kênh, đế cắm iPod bị hỏng, thật đáng thất vọng. Sáng hôm sau, tôi hỏi lễ tân kiểm tra nhiệt kế, họ nói 65 độ F nhưng tôi thấy ấm, tôi thử che mặt lại nhưng đèn xanh vẫn sáng. Tôi vẫn nhận được phòng, đêm đó không được. Tôi gọi cho lễ tân, họ đến xem nhiệt kế, bảo tôi thử cài đặt nhưng hộp kỹ thuật số không hoạt động. Tôi yêu cầu báo thức lúc 10 giờ sáng nhưng không được. Tôi gọi lại sau đó, ngủ trưa lúc 6 giờ chiều và quên báo thức. Tôi gọi lại lúc 10 giờ sáng và báo thức dậy lúc 10 giờ sáng cũng quên. Tiện nghi phòng tắm tuyệt vời, tôi ngạc nhiên khi phòng được bán với bồn tắm xoáy nước nhưng không có phụ kiện tắm, vòi phun nước thư giãn tuyệt vời.",3
"Khách sạn Monaco độc đáo, tuyệt vời, thời gian lưu trú đáng nhớ, vị trí xuất sắc, chỉ cần đi bộ một đoạn ngắn là đến khu mua sắm trung tâm thành phố, phòng thân thiện với thú cưng, không có dấu hiệu mùi lông thú, khu vực ngủ của phòng suite Monaco có rèm cửa sọc lớn được kéo kín, tạo cảm giác ấm cúng, tôi rất thích chú cá vàng tên Brandi, nhưng không dùng đến dịch vụ rượu vang, cà phê/trà miễn phí ở sảnh, tôi thấy đó là một tiện ích tuyệt vời, nhân viên thân thiện, internet không dây miễn phí hoạt động tốt với 2 máy tính xách tay trong phòng suite, trang trí đẹp mắt với sự pha trộn độc đáo của các họa tiết và bảng màu, áo choàng tắm in hình động vật tạo cảm giác như những ngôi sao nhạc rock, rất đẹp, không giống như một khách sạn chuỗi nhàm chán, cá tính của khách sạn tuyệt vời, kỳ nghỉ tuyệt vời.",5
"Kỳ nghỉ tuyệt vời, đi xem trận đấu của Seahawks thật tuyệt, tòa nhà có tầm nhìn xuống nhưng không phàn nàn, phòng rộng, nhân viên hữu ích, đặt gói Seahawks qua trang web của khách sạn, đỗ xe miễn phí, có phiếu taxi, vấn đề là tài xế taxi không muốn nhận phiếu, hầu như không nói được tiếng Anh, điều buồn cười là nói tiếng Ả Rập, gọi điện bắt đầu bình luận về bạn gái qua điện thoại, mất một lúc mới nhận ra mình vừa nói sự thật, nói được ngôn ngữ đó, khuôn mặt vô giá, bị mắng, nói thành phố lớn, báo cho người gác cửa, gọi cho công ty taxi nhưng không trả lời ngay, xin lỗi và đề nghị trả tiền taxi, đến sân vận động cách 2 dặm, kế hoạch là bắt taxi về, đi bộ tuyệt vời, không phiền, đúng Giáng sinh đèn đẹp tuyệt vời, người vô gia cư trốn ở lối vào tòa nhà, sự hiện diện của cảnh sát không phải là khu vực tốt nhất gần sân vận động, các hoạt động cách 7 dãy nhà trên phố Pike, bờ sông, quán cà phê tuyệt vời, sảnh khách sạn được bảo trì tuyệt vời, có nếm rượu vang buổi tối, chó tốt nhất, đưa St. Gia đình Bernard, khách sạn có két an toàn, quầy lễ tân, phòng tắm có bồn tắm sục lớn, nhân viên dọn phòng hài hước đi ngang qua bạn gái đang thay đồ, không nghe thấy tiếng gõ cửa khi đang dọn dẹp, bạn gái hét lên và ngã xuống sàn cười, bắt đầu nói tiếng Tây Ban Nha và làm việc, giá cả được đề xuất, kiểm tra các ưu đãi trực tuyến chỉ tốt chứ không tốt hơn, trang web có chứa các phiếu giảm giá, phiếu du lịch nhưng không nói rõ.",5
"Yêu Monaco, nhân viên, chồng ở khách sạn, cuối tuần điên rồ, tham dự lễ tưởng niệm, bạn thân, chồng kỷ niệm 12 năm ngày cưới, nói chuyện nhiều cảm xúc lẫn lộn, đặt phòng suite tại khách sạn Monte Carlos, cho mượn một con cá vàng rám nắng tuyệt đẹp tên Joliet, cuối tuần thăm chó, làm việc bàn giấy, bạn đồng hành là con người, phòng được trang trí đẹp, ghế sofa dùng gối, đồ dùng phòng tắm L'Occitane là một cảnh tượng đáng chào đón, phòng yên tĩnh thanh bình, truy cập internet không dây tuyệt vời, phục vụ tốt, buổi sáng gặp sự cố khi in vé máy bay, buổi chiều lễ tân phục vụ rượu vang Úc ngon tuyệt, bánh quy hấp dẫn, nhà hàng đóng cửa để sửa chữa, cuối cùng cũng được ăn, đồ ăn ngon, đồ uống ngon hơn, lời cảnh báo nhà hàng, người to con không nên ngồi ở bàn riêng, sẽ không vừa, cao 1m68 nặng 57kg, chồng cao 1m75 nặng 79kg. Bàn đập vào bụng, khoảng cách chỉ vài inch, rất khó chịu, khách hàng to con đang mang thai, thiết kế tệ, ý kiến ​​cho rằng nơi được trang trí theo phong cách độc đáo, chào đón, kim loại, gỗ, thủy tinh thổi thủ công, đèn chiếu sáng, mong đợi ngành công nghiệp nghệ thuật thủy tinh thủ đô Seattle, chắc chắn là lý do để ở lại.",5
"Kỳ nghỉ ấm cúng ở thành phố mưa, chồng tôi đã ở Monaco 7 đêm vào đầu tháng 1 năm 2008. Cơ hội đi công tác. Chúng tôi đặt phòng suite Monte Carlo và thấy khá thoải mái trong thời gian lưu trú dài, phòng 905 nằm ở tòa nhà mặt phố, tiếng ồn đường phố không thành vấn đề, tầm nhìn từ phòng thú vị, tòa nhà trông hơi ẩm thấp, con hẻm ở giữa là một tòa nhà văn phòng lớn, suite thoải mái, rộng rãi, phòng tắm sạch sẽ, hấp dẫn, nhỏ hơn nhưng so với kích thước thì khu vực ngồi và ngủ khá rộng rãi, nhiều lựa chọn chỗ ngồi thoải mái, ánh sáng tốt, nhiều chỗ để quần áo và hành lý, nhân viên khách sạn thân thiện và hiệu quả, nhân viên dọn phòng làm việc rất tốt, dễ chịu, yêu cầu được đáp ứng nhanh chóng. Vị trí khá tốt, dễ dàng đi bộ đến chợ Pike Street, bảo tàng nghệ thuật Seattle, khu mua sắm Notch và các lựa chọn ăn uống. Một trải nghiệm tích cực.",5
"Nhân viên xuất sắc, chất lượng dọn dẹp khách sạn tuyệt vời, nhân viên chu đáo khiến chúng tôi cảm thấy như ở nhà, đội ngũ nhân viên lễ tân chuyên nghiệp và tận tâm, nhân viên gác cửa, dịch vụ dọn phòng cần được cải thiện, nhân viên dọn phòng đã không gấp ga trải giường đúng cách, ví dụ như ga trải giường bị bẩn, nhân viên đã nhanh chóng giải quyết vấn đề ga trải giường bẩn, có lẽ là do nhân viên đó chứ không phải do toàn bộ nhân viên. Chúng tôi nhận được lời khuyên tuyệt vời từ nhân viên lễ tân về khu vực nhà hàng, giờ khuyến mãi, nếm rượu vang, đó là một cử chỉ tuyệt vời, nhân viên đã rất chu đáo khiến chúng tôi cảm thấy như ở nhà. Vị trí tuyệt vời, gần nhiều nhà hàng ngon, cửa hàng mua sắm, rạp chiếu phim đường số 5. ​​Chợ Pikes, quảng trường Pioneer, ga tàu điện một ray đều nằm trong khoảng cách đi bộ ngắn.",4
"Khách sạn tôi ở là khách sạn Monaco Cruise, phòng rộng rãi được trang trí độc đáo, khách sạn được cải tạo theo phong cách Pacific Bell với vẻ quyến rũ và vững chắc, mỗi lần bước vào đều có nhân viên khuân vác hành lý cảm giác như về nhà, an toàn, tuyệt vời cho khách du lịch một mình, vị trí tuyệt vời, có thể đi bộ đến chợ Pike và tháp Space Needle. Có cửa hàng tạp hóa/hiệu thuốc nhỏ cách đó một dãy nhà, hôm nay trời xanh, tuyệt vời, 1 phòng ngủ có giường đôi, giường sofa ngăn cách bằng rèm, mẹ tôi ngủ ngáy dưới rèm, có nhiều quán ăn ngon gần đó.",5
"Khách sạn Monaco tuyệt vời, tôi đã ở đó vào cuối tuần vừa rồi, nhân viên lễ tân thân thiện và chuyên nghiệp, phòng sạch sẽ, giường thoải mái, đặc biệt tôi thích việc lễ tân đón tiếp chú chó nhỏ và khách nói chuyện rất dễ thương. Điểm trừ nhỏ là khoảng cách lên dốc đến các nhà hàng gần chợ. Nhìn chung, trải nghiệm tuyệt vời!",5
